15:50:22, Fri Nov 27, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/8ProteinNewXquestMods.
9:18:17, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
11:43:6, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
12:24:34, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
12:39:46, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
12:58:58, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
14:7:50, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
14:35:38, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
14:52:21, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
15:3:58, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
15:18:17, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
15:35:34, Thu Dec 3, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
11:19:52, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
11:20:45, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
11:30:47, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquest.
11:59:46, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TinaAcidicNewXquestOldScoring.
14:25:48, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/PhosphoNew.
14:30:24, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/PhosphoNew.
14:33:0, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/PhosphoNew.
15:38:7, Fri Dec 4, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/PhosphoNew.
17:57:10, Mon Dec 7, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteineDSS1.
18:8:44, Mon Dec 7, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteineDSS1.
18:12:21, Mon Dec 7, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteineDSS2.
12:26:37, Wed Dec 9, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TORC2Phospho.
10:40:18, Thu Dec 10, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TORC2Phospho.
11:49:42, Thu Dec 10, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TORC2Phospho.
17:29:41, Thu Dec 10, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteinePDH1.
17:36:32, Thu Dec 10, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteinePDH2.
9:40:1, Fri Dec 11, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/TORC2Phospho.
16:22:53, Fri Dec 11, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteineZL1.
17:4:40, Fri Dec 11, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Aleikar/DoubleCysteineZL2.
16:17:34, Thu Oct 27, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
16:24:20, Thu Oct 27, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
17:14:11, Thu Oct 27, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
17:14:30, Thu Oct 27, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
17:22:40, Thu Oct 27, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
9:36:6, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
9:38:24, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
9:45:48, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
10:4:48, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
10:21:45, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
11:1:19, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
14:42:31, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
14:58:0, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
15:10:58, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
17:1:43, Fri Oct 28, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
10:12:41, Mon Oct 31, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
15:44:37, Mon Oct 31, 2016: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler2.
16:6:29, Mon Oct 31, 2016: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler2.
16:15:51, Mon Oct 31, 2016: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler2.
16:33:28, Mon Oct 31, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
13:31:24, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
14:10:8, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
14:38:41, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
15:3:14, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
16:0:38, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
16:10:29, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
16:33:44, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
17:20:38, Tue Nov 1, 2016: User: mewing, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler.
9:7:11, Wed Nov 2, 2016: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/Xquest2_1_4Tests/8ProteinNewXquest2Euler2.
11:14:24, Tue Jun 6, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/test.
11:48:3, Tue Jun 6, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/test.
9:50:1, Wed Jun 7, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Alc1-PARP1_Jun17.
9:56:14, Wed Jun 7, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/TRiC-p53_Apr17.
10:10:36, Wed Jun 7, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/TRiC-ass_Apr17.
9:47:1, Thu Jun 8, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Lumos_ZL-CID_May17.
11:38:41, Thu Jun 8, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Lumos_ZL-ETD_May17.
22:37:39, Thu Jun 8, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Cnm.
22:39:35, Thu Jun 8, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Snm.
22:41:30, Thu Jun 8, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Onm.
9:9:11, Fri Jun 9, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Snm.
14:21:29, Fri Jun 9, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Lumos_ZL-EThcD_May17.
18:45:19, Mon Jun 12, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_DSS_L.
18:48:13, Mon Jun 12, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_DSS_M.
18:52:34, Mon Jun 12, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_DSS_H.
15:23:8, Sat Jun 17, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P4.
15:44:14, Sat Jun 17, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P5.
16:27:32, Sat Jun 17, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P3_eu.
12:37:58, Mon Jun 19, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P4enu.
13:9:40, Mon Jun 19, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P4enu.
13:41:24, Mon Jun 19, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P4enu.
14:19:31, Mon Jun 19, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P4enu.
9:48:25, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
9:58:43, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_2/ANALYSISFOLDER.
10:19:51, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
10:22:3, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_2/ANALYSISFOLDER.
10:27:27, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3/ANALYSISFOLDER.
10:31:53, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3_zerolength/ANALYSISFOLDER.
10:34:51, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3_zerolength/ANALYSISFOLDER.
10:35:42, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_4/ANALYSISFOLDER.
10:39:36, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_4_zerolength/ANALYSISFOLDER.
11:28:41, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
11:31:3, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P5D.
11:34:5, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_2/ANALYSISFOLDER.
11:50:44, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3/ANALYSISFOLDER.
11:53:45, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3/ANALYSISFOLDER.
11:59:33, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_4/ANALYSISFOLDER.
12:2:32, Tue Jun 20, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_4_zerolength/ANALYSISFOLDER.
14:52:58, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P6.
15:1:19, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P6.
15:47:56, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P7.
18:44:17, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Sa.
18:50:18, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Ca.
18:50:23, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Oa.
18:56:43, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Sa.
18:59:49, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Oa.
18:59:59, Tue Jun 20, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_Ca.
16:34:27, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
16:38:7, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_2/ANALYSISFOLDER.
16:52:20, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_2/ANALYSISFOLDER.
17:23:44, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3_zerolength/ANALYSISFOLDER.
17:42:58, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3_zerolength/ANALYSISFOLDER.
17:52:0, Wed Jun 21, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_3_zerolength/ANALYSISFOLDER.
14:50:22, Thu Jun 22, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
18:43:40, Thu Jun 22, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
11:8:14, Fri Jun 23, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex21_ABCB8/XQuest/analysis_ABC_1/ANALYSISFOLDER.
20:36:29, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_S1a.
20:38:3, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_S2a.
20:39:55, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_C1a.
20:42:19, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_C2a.
20:46:9, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_C2a.
20:47:0, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_O1a.
20:48:25, Fri Jun 23, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1706_2ABG_SCO_O2a.
11:10:8, Mon Jun 26, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Alc1-PARP1_Jun17.
11:10:41, Mon Jun 26, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Alc1-PARP1_Jun17.
11:14:4, Mon Jun 26, 2017: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Alc1-PARP1_Jun17.
17:56:16, Tue Jun 27, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_58/analysis/ANALYSISFOLDER.
17:58:10, Tue Jun 27, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_58_zerolength/analysis/ANALYSISFOLDER.
18:33:36, Tue Jun 27, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_58A3_zerolength/analysis/ANALYSISFOLDER.
18:35:58, Tue Jun 27, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_58A3/analysis/ANALYSISFOLDER.
18:39:19, Tue Jun 27, 2017: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_58A2_zerolength/analysis/ANALYSISFOLDER.
18:40:37, Tue Jun 27, 2017: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1703_2ABG_SCO_S1_cas_P8.
